Name,Park,City,State,Country,Type,Construction,Height,Speed,Length,Inversions,Numinversions,Duration,GForce,Opened,Region
Little Dipper,Kiddieland,Melrose Park,IL,US,W,Wood,8.5344,"",213.36,No,0,50,"",1950,North America
Backyardigans: Mission to Mars,Movie Park Germany,"Bottrop, North Rhine-Westphalia",D,D,S,Steel,8.5,35,207,No,0,44,"",1996,Europe
Achterbahn,Rasti-Land,"Salzhemmendorf, Lower Saxony",D,D,S,Steel,8.5,35,207,No,0,44,"",1989,Europe
Dï¿½val'Train,Parc Touristique des Combes,"Creusot, Burgundy",F,F,S,Steel,8.5,35,207,No,0,44,"",2003,Europe
Roller Skater,Six Flags Mexico,Mexico City,MX,MX,S,Steel,8.5,34.9,207,No,0,44,"",1993,Latin America
Spacely's Sprocket Rockets,Six Flags Great America,Gurnee,IL,US,S,Steel,8.2296,34.02,206.959,No,0,44,"",1998,North America
Hornet,Wonderland Amusement Park,Amarillo,TX,US,S,Steel,8.2296,"",349.91,No,0,"","",2009,North America
Merlin's Revenge,Castle Amusement Park,Riverside,CA,US,S,Steel,8.2296,34.02,206.959,No,0,44,"",2001,North America
Gadget's Go Coaster,Disneyland,Anaheim,CA,US,S,Steel,8.2296,34.02,206.959,No,0,44,"",1993,North America
Rasender Tausendfï¿½ï¿½ler,Erlebnispark Tripsdrill,"Cleebronn, Baden Wuerttemberg",D,D,S,Steel,8,36,360,No,0,"","",1986,Europe
Marienkï¿½ferbahn,Fort Fun Abenteuerland,"Wasserfall, North Rhine-Westphalia",D,D,S,Steel,8,36,360,No,0,65,"",1986,Europe
Marienkï¿½ferbahn,Zoo Safari- und Hollywoodpark Stukenbrock,"Stukenbrock, North Rhine-Westphalia",D,D,S,Steel,8,36,360,No,0,"","",1979,Europe
Froschflitzer,Serengeti Park,"Hodenhagen, Lower Saxony",D,D,S,Steel,8,36,360,No,0,"","",1999,Europe
Familienachterbahn,Magic Park Verden,"Verden, Lower Saxony",D,D,S,Steel,8,36,360,No,0,"","",2003,Europe
Serpent Hopi,OK Corral,"Cuges-les-Pins, Provence-Alpes-Cote d'Azur",F,F,S,Steel,8,36,360,No,0,"","","",Europe
Roller Coaster,Papï¿½a Parc,"Yvrï¿½-l'Evï¿½que, Pays de la Loire",F,F,S,Steel,8,36,360,No,0,"","",2009,Europe
Coccinelle des Andes,Walibi Rhï¿½ne-Alpes,"Les Aveniï¿½res, Rhï¿½ne-Alpes",F,F,S,Steel,8,36,360,No,0,"","",1992,Europe
Coccinelle,Walibi Aquitaine,"Roquefort, Aquitaine",F,F,S,Steel,8,36,360,No,0,"","",1992,Europe
Vigia,Parque de la Costa,"Buenos Aires, BA",AR,AR,S,Steel,8,36,360,No,0,"","",1998,Latin America
Twisted Coaster,HotZone,Rio de Janeiro,BR,BR,S,Steel,8,28,175,Yes,0,"","",2012,Latin America
Choconoy,Xetulul,"Retalhuleu, Guatamala",GT,GT,S,Steel,8,36,360,No,0,"","",2002,Latin America
Catarina,Selva Mï¿½gica,Guadalajara,MX,MX,S,Steel,8,36,360,No,0,"","",2001,Latin America
Tsunaumi,Six Flags Mexico,Mexico City,MX,MX,S,Steel,8,36,360,No,0,"","",1981,Latin America
Cobra,Six Flags Discovery Kingdom,Vallejo,CA,US,S,Steel,7.9248,35.64,359.969,No,0,"","",2000,North America
Tiger Terror,Safari Land,Villa Park,IL,US,S,Steel,6.7056,"","",No,0,45,"",2002,North America
Schmetterlings-Pendelbahn,Churpfalzpark,"Loifling, Bavaria",D,D,S,Steel,6.1,"","",No,0,"","",1989,Europe
Schmetterling,Lï¿½tge Land,"Altfunnixsiel, Lower Saxony",D,D,S,Steel,6.1,"","",No,0,"","",1991,Europe
Goldminen Express,Familienpark Funny-World,"Kappel, Baden Wuerttemberg",D,D,S,Steel,6.1,"","",No,0,"","",2005,Europe
Butterfly,Affen- und Vogelpark,"Reichshof Eckenhagen, North Rhine-Westphalia",D,D,S,Steel,6.1,"","",No,0,"","",1991,Europe
Butterfly,Skyline Park,"Bad Wï¿½rishofen, Bavaria",D,D,S,Steel,6.1,"","",No,0,"","",1996,Europe
Butterfly,Wildpark Schwarze Berge,"Rosengarten, Lower Saxony",D,D,S,Steel,6.1,"","",No,0,"","",1988,Europe
Butterfly,Rï¿½gen Park,"Gingst, Mecklenburg-Western Pomerania",D,D,S,Steel,6.1,"","",No,0,"","",2000,Europe
Butterfly,Mï¿½rchenwald Saalburg,"Saalburg, Thuringia",D,D,S,Steel,6.1,"","",No,0,"","",1995,Europe
Butterfly,Erlebniswelt Seilbahnen Thale,"Thale, Saxony-Anhalt",D,D,S,Steel,6.1,"","",No,0,"","",2000,Europe
Butterfly,Freizeitpark Lochmï¿½hle,"Wehrheim, Hesse",D,D,S,Steel,6.1,"","",No,0,"","",1998,Europe
Bumerang,Familienpark Funny-World,"Kappel, Baden Wuerttemberg",D,D,S,Steel,6.1,"","",No,0,"","",2003,Europe
Bumerang,Freizeitzentrum SchiederSee,"Schieder, North Rhine-Westphalia",D,D,S,Steel,6.1,"","",No,0,"","",1991,Europe
Balancier des Fortiches,Futuroscope - Le Parc,"Poitiers, Poitou-Charentes",F,F,S,Steel,6.1,"","",No,0,"","",2006,Europe
Mini Mine Train,Six Flags Over Texas,Arlington,TX,US,S,Steel,6.096,"",277.368,No,0,70,"",1969,North America
Cobra,Oasis Lanes & Amusement Center,El Paso,TX,US,S,Steel,6.096,"","",No,0,"","",2004,North America
Holzwurmachterbahn,Jaderpark,"Jaderberg, Lower Saxony",D,D,S,Steel,6,32,199,No,0,"","",1996,Europe
Grottenblitz,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,S,Steel,6,45,370,No,0,"","",1985,Europe
Familienachterbahn,Schloï¿½ Beck Freizeitpark,"Bottrop, North Rhine-Westphalia",D,D,S,Steel,6,32,199,No,0,"","",1987,Europe
Alpenexpress,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,6,45,264,No,0,"","",1984,Europe
Speedy Gonzales,Parc du Bocasse,"Bocasse, Normandy",F,F,S,Steel,6,34,135,No,0,"","",2006,Europe
Pile Ou Face,France Miniature,"ï¿½lancourt, Ile-de-France",F,F,S,Steel,6,"","",No,0,"","",2004,Europe
Pï¿½rifï¿½rix,Parc Astï¿½rix,"Plailly, Picardie",F,F,S,Steel,6,32,199,No,0,90,"",1990,Europe
Jr. Gemini,Cedar Point,Sandusky,OH,US,S,Steel,5.7912,9.72,135.026,No,0,50,"",1979,North America
Kombo,Indianapolis Zoo,Indianapolis,IN,US,S,Steel,5.7912,30.78,76.8096,No,0,"","",2001,North America
Drachenjagd,Legoland Deutschland,"Gï¿½nzburg, Bavaria",D,D,S,Steel,5.5,33,150,No,0,"","",2003,Europe
Coastersaurus,Legoland California,Carlsbad,CA,US,S,Steel,5.4864,32.4,149.962,No,0,"","",2004,North America
Dragon,Jardin d'Acclimatation,"Paris, Ile-de-France",F,F,S,Steel,5,"",200,No,0,75,"",1987,Europe
Alpen Blitz,Parque de la Ciudad,"Buenos Aires, BA",AR,AR,S,Steel,5,72,210,No,0,"","",1984,Latin America
Die! Wilde Maus,Serengeti Park,"Hodenhagen, Lower Saxony",D,D,S,Steel,4.9,22.5,164.9,No,0,"","",2007,Europe
Wile E. Coyote's Grand Canyon Blaster,Six Flags Over Texas,Arlington,TX,US,S,Steel,4.8768,"","",No,0,"","",2001,North America
Indy-Blitz,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,S,Steel,4.5,30,128,No,0,"","",2008,Europe
Familien-Achterbahn,Tolk Schau,"Tolk, Schleswig-Holstein",D,D,S,Steel,4.5,30,128,No,0,"","","",Europe
Familien-Achterbahn,Eifelpark,"Gondorf, Rhineland-Palatinate",D,D,S,Steel,4.5,30,128,No,0,"","",1995,Europe
Familienachterbahn,Erse-Park,"Uetze, Lower Saxony",D,D,S,Steel,4.5,30,128,No,0,"","",1992,Europe
Eichhï¿½rnchenbahn,Freizeitpark Lochmï¿½hle,"Wehrheim, Hesse",D,D,S,Steel,4.5,30,128,No,0,"","",1992,Europe
Family Coaster,Parc Saint Paul,"Saint Paul, Picardie",F,F,S,Steel,4.5,"","",No,0,"","",2005,Europe
Grazy Worm,Schwaben Park,"Kaisersbach, Baden Wuerttemberg",D,D,S,Steel,4,24,70,No,0,"","",2003,Europe
Achterbahn,Nordsee Spielstadt Wangerland,"Hohenkirchen, Lower Saxony",D,D,S,Steel,4,"",80,No,0,"","",2006,Europe
Chiquita Montaï¿½a Rusa,VulQano Park,Quito,EQ,EQ,S,Steel,4,"",80,No,0,"","",2005,Latin America
Teletren,Parque Diversiones,"San Josï¿½, CR",CR,CR,S,Steel,4,"",80,No,0,"","",2002,Latin America
Teletren,Parque de Diversiones Dr Roberto Ortiz Brenes,"San Josï¿½, CR",CR,CR,S,Steel,4,"",80,No,0,"","",2002,Latin America
Shamu Express,SeaWorld San Antonio,San Antonio,TX,US,S,Steel,3.9624,22.68,69.7992,No,0,"","",2004,North America
Howler,Holiday World,Santa Claus,IN,US,S,Steel,3.9624,"",79.8576,No,0,"","",1999,North America
Roadrunner Express,Six Flags Discovery Kingdom,Vallejo,CA,US,S,Steel,3.9624,"",79.8576,No,0,"","",1999,North America
Cactus Coaster,Elitch Gardens,Denver,CO,US,S,Steel,3.6576,"","",No,0,"","",1995,North America
Little Dipper,Sandy Lake Amusement Park,Carrollton,TX,US,S,Steel,3.6576,"",85.344,No,0,"","",1971,North America
Montaï¿½a Ratï¿½n,Graje Villa,Lima,PE,PE,S,Steel,3.6,22.7,60,No,0,"","",2002,Latin America
Wilde Mini Maus,Lollihop,"Munich, Bavaria",D,D,S,Steel,3.5,25,60,No,0,"","",2007,Europe
Montana Ghibli,Parque Diversiones,"San Josï¿½, CR",CR,CR,S,Steel,3.4,"","",No,0,"","",1984,Latin America
Marienkï¿½fer Hochbahn,Churpfalzpark,"Loifling, Bavaria",D,D,S,Steel,3.3,26,60.2,No,0,"","",1983,Europe
Froschbahn,Bayern Park,"Reisbach, Bavaria",D,D,S,Steel,3.3,26,60.2,No,0,"","",1995,Europe
Ronde des Rondins,Parc Astï¿½rix,"Plailly, Picardie",F,F,S,Steel,3.3,26,60.2,No,0,48,"",1991,Europe
Catariï¿½os,Parque Plaza Sesamo,Monterrey,MX,MX,S,Steel,3.3,26,60.2,No,0,"","",2006,Latin America
Percy's Railway,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,3.048,16.2,106.68,No,0,"","",1971,North America
Mini Mouse Cartoon,Parc Saint Paul,"Saint Paul, Picardie",F,F,S,Steel,3,"",85.3,No,0,86,"",2004,Europe
Montaï¿½a Rusa Infantil,Parque de la Ciudad,"Buenos Aires, BA",AR,AR,S,Steel,3,30,190,No,0,"","",1983,Latin America
Dragon Wagon,Sandy Lake Amusement Park,Carrollton,TX,US,S,Steel,2.4384,"",42.672,No,0,"","","",North America
Temple of the Night Hawk,Phantasialand,"Brï¿½hl, North Rhine-Westphalia",D,D,S,Steel,"","",1280,No,0,240,"",1988,Europe
Flotte Biene,Trampolino Familien- und Freizeitpark,"Andernach, Rhineland-Palatinate",D,D,S,Steel,"",42,200,No,0,"","",2008,Europe
Waly Coaster,Walygator Parc,"Maiziï¿½res-les-Metz, Lorraine",F,F,S,Steel,"","","",Yes,3,75,"",1989,Europe
Trace Du Hourra,Parc Astï¿½rix,"Plailly, Picardie",F,F,S,Steel,"",60,900,No,0,"","",2001,Europe
Tacot Express,Jardin d'Acclimatation,"Paris, Ile-de-France",F,F,S,Steel,"",40,"",No,0,60,"",2001,Europe
Sombrero,Jacquou Parc,"Le Bugue, Aquitaine",F,F,S,Steel,"","",100,No,0,"","",2008,Europe
Indiana Jones et le Temple du Pï¿½ril,Disneyland Resort Paris - Disneyland Park,"Marne la Vallï¿½e, Ile-de-France",F,F,S,Steel,"","",600,Yes,1,75,"",1993,Europe
Grand 8 TGV,Florida Parc,"Brochon, Burgundy",F,F,S,Steel,"","",200,No,0,"","",2006,Europe
Eurospeed,Europark,"Vias, Languedoc-Roussillon",F,F,S,Steel,"",60,650,No,0,"","",2009,Europe
"",Festyland,"Bretteville-Sur-Odon, Normandy",F,F,S,Steel,"",65,400,No,0,60,"",2005,Europe
Torbellino,Parque de la Costa,"Buenos Aires, BA",AR,AR,S,Steel,"","",340,No,0,"","",2010,Latin America
Tornado,Salitre Mï¿½gico,Bogotï¿½,CO,CO,S,Steel,"","",872.3,No,0,"","",2010,Latin America
Avalancha,Xetulul,"Retalhuleu, Guatamala",GT,GT,S,Steel,"",88,"",Yes,8,"","","",Latin America
Dark Knight,Six Flags Mexico,Mexico City,MX,MX,S,Steel,"","",369.7,No,0,120,"",2009,Latin America
Miner Mike,Fish 'n Farm at Heritage Square,Golden,CO,US,S,Steel,"","","",No,0,"","","",North America
Kiddie Coaster,Lakeside Amusement Park,Denver,CO,US,S,Steel,"","","",No,0,"","","",North America
Flying Dragon Coaster,Mile High Flea Market,Henderson,CO,US,S,Steel,"","","",No,0,"","",2000,North America
Dragon Roller Coaster,Fish 'n Farm at Heritage Square,Golden,CO,US,S,Steel,"","","",No,0,"","",2007,North America
Dragon,Lakeside Amusement Park,Denver,CO,US,S,Steel,"","",85.344,No,0,"","",1989,North America
Candy Cane Coaster,Santa's Workshop,Cascade,CO,US,S,Steel,"","","",No,0,"","","",North America
Tornado,Stricker's Grove,Ross,OH,US,W,Wood,"","","",No,0,93,"",1993,North America
Teddy Bear,Stricker's Grove,Ross,OH,US,W,Wood,"","","",No,0,63,"",1996,North America
Racer,Kings Island,Kings Mills,OH,US,W,Wood,"",98.82,1040.89,No,0,120,"",1972,North America
Mini Coaster,Tuscora Park,New Philadelphia,OH,US,S,Steel,"","","",No,0,"","","",North America
Little Dipper,Memphis Kiddie Park,Cleveland,OH,US,S,Steel,"","","",No,0,"","",1952,North America
Little Bill's Giggle Coaster,Kings Island,Kings Mills,OH,US,S,Steel,"","",60.6552,No,0,52,"",1992,North America
Fairly Odd Coaster,Kings Island,Kings Mills,OH,US,W,Wood,"","",411.48,No,0,90,"",1972,North America
Rexo Coaster,Go Bananas,Harwood Heights,IL,US,S,Steel,"","","",No,0,"","",2000,North America
Python Pit,Go Bananas,Harwood Heights,IL,US,S,Steel,"",24.3,"",No,0,"","",1997,North America
Miner Mike,Haunted Trails,Burbank,IL,US,S,Steel,"","","",No,0,"","","",North America
Dragon Wagon,Grady's Family Fun Park,Bloomington,IL,US,S,Steel,"","","",No,0,"","",1993,North America
Dark Knight,Six Flags Great America,Gurnee,IL,US,S,Steel,"","",369.722,No,0,120,"",2008,North America
Romp Bomp A Stomp,Six Flags Fiesta Texas,San Antonio,TX,US,S,Steel,"","",84.7344,No,0,"","",1992,North America
Minor Mike,Zuma Fun Center,Houston,TX,US,S,Steel,"","","",No,0,"","",2004,North America
Mad Mouse,Joyland Amusement Park,Lubbock,TX,US,S,Steel,"","","",No,0,"","",1976,North America
iT'Z Express,iT'Z Family Food & Fun,Houston,TX,US,S,Steel,"","","",No,0,"","",2007,North America
Galaxi,Joyland Amusement Park,Lubbock,TX,US,S,Steel,"","","",No,0,"","","",North America
Dipsy Doodle,Joyland Amusement Park,Lubbock,TX,US,S,Steel,"","","",No,0,"","","",North America
Cyclone,Wonderland Amusement Park,Amarillo,TX,US,S,Steel,"","","",No,0,"","",1968,North America
Big Coaster,Wonderland Amusement Park,Amarillo,TX,US,S,Steel,"","","",No,0,"","",1975,North America
Sea Serpent,That Fun Place,Greenfield,IN,US,S,Steel,"","","",No,0,"","",2008,North America
Runaway Train,Paige's Crossing,Columbia City,IN,US,S,Steel,"","","",No,0,"","",2007,North America
Galaxi,Indiana Beach,Monticello,IN,US,S,Steel,"","","",No,0,"","",1971,North America
Zoooooom,Oaks Amusement Park,Portland,OR,US,S,Steel,"","","",No,0,"","",1999,North America
Ice Mountain Bobsled,Enchanted Forest,Turner,OR,US,S,Steel,"","",487.68,No,0,150,"",1983,North America
Big Timber Log Ride,Enchanted Forest,Turner,OR,US,S,Steel,"","","",No,0,"","",1996,North America
Windstorm,Fun Forest Amusement Park,Seattle,WA,US,S,Steel,"","",440.436,No,0,"","",1993,North America
Wild Thing,Wild Waves Theme Park,Federal Way,WA,US,S,Steel,"","","",Yes,3,60,"",1997,North America
Wildcat,Puyallup Fair,Puyallup,WA,US,S,Steel,"","","",No,0,"","",1985,North America
Rainbow Chaser,Fun Forest Amusement Park,Seattle,WA,US,S,Steel,"","","",No,0,"","","",North America
Monster Mouse,Puyallup Fair,Puyallup,WA,US,S,Steel,"","","",No,0,"","","",North America
Mine Twister,Remlinger Farms,Carnation,WA,US,S,Steel,"","","",No,0,"","",1996,North America
Kiddie Coaster,Wild Waves Theme Park,Federal Way,WA,US,S,Steel,"","","",No,0,"","",1997,North America
Kersplash,Puyallup Fair,Puyallup,WA,US,S,Steel,"","","",No,0,"","",1995,North America
Dragon,Riverfront Park,Spokane,WA,US,S,Steel,"","","",No,0,"","","",North America
Timber Twister,Gilroy Gardens Family Theme Park,Gilroy,CA,US,S,Steel,"","","",No,0,"","",2001,North America
Tiger Mike,Boomers,Fountain Valley,CA,US,S,Steel,"","","",No,0,"","",2005,North America
Tiger Express,Oakland Zoo,Oakland,CA,US,S,Steel,"","","",No,0,"","",1999,North America
Taxi Jam,California's Great America,Santa Clara,CA,US,S,Steel,"","","",No,0,"","",1999,North America
Space Mountain,Disneyland,Anaheim,CA,US,S,Steel,"","","",No,0,"","",2005,North America
Sea Serpent,Santa Cruz Beach Boardwalk,Santa Cruz,CA,US,S,Steel,"","","",No,0,"","",2000,North America
Runaway Reptar,California's Great America,Santa Clara,CA,US,S,Steel,"","",396.24,No,0,132,"",1987,North America
Rolling Thunder,Tahoe Amusement Park,South Lake Tahoe,CA,US,S,Steel,"","","",No,0,"","","",North America
Roller Coaster,Blackbeard's Family Entertainment Center,Fresno,CA,US,S,Steel,"","","",No,0,"","","",North America
Roller Coaster,Rotary Playland,Fresno,CA,US,S,Steel,"","","",No,0,"","",2002,North America
Roller Coaster,Fun Town at Micke Grove,Lodi,CA,US,S,Steel,"","","",No,0,"","","",North America
Revenge of the Mummy,Universal Studios Hollywood,Universal City,CA,US,S,Steel,"",64.8,548.64,No,0,120,"",2004,North America
Psycho Mouse,California's Great America,Santa Clara,CA,US,S,Steel,"","",383.134,No,0,"","",2001,North America
Mulholland Madness,Disney's California Adventure,Anaheim,CA,US,S,Steel,"",43.74,"",No,0,"","",2001,North America
Little Dipper Coaster,Scandia Amusement Park,Ontario,CA,US,S,Steel,"","","",No,0,"","","",North America
Little Dipper,Castle Amusement Park,Riverside,CA,US,S,Steel,"","","",No,0,"","","",North America
Incredible Express,John's Incredible Pizza Company,Roseville,CA,US,S,Steel,"","",12.192,No,0,"","",2007,North America
Hurricane,Santa Cruz Beach Boardwalk,Santa Cruz,CA,US,S,Steel,"","","",No,0,"","",1992,North America
Go-Gator,Kiwanis Kiddieland,Merced,CA,US,S,Steel,"","","",No,0,"","",2008,North America
Freeway Coaster,Adventure City,Anaheim,CA,US,S,Steel,"","","",No,0,"","",1994,North America
Flying Dragon Coaster,Pixieland Amusement Park,Concord,CA,US,S,Steel,"","","",No,0,"","",1995,North America
Flying Dragon,Funderland Amusement Park,Sacramento,CA,US,S,Steel,"","","",No,0,"","",1990,North America
Dragon,Traintown,Sonoma,CA,US,S,Steel,"","","",No,0,"","",2001,North America
Dragon,Legoland California,Carlsbad,CA,US,S,Steel,"","","",No,0,"","",1999,North America
Canyon Blaster,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,"","","",No,0,"","",1999,North America
California Screamin',Disney's California Adventure,Anaheim,CA,US,S,Steel,"",89.1,1850.75,Yes,1,156,"",2001,North America
Big Thunder Mountain Railroad,Disneyland,Anaheim,CA,US,S,Steel,"",45.36,814.121,No,0,"","",1979,North America
